id,location,warehouse_id
446864f8-b5d8-48bf-ace5-40b7d4b94a54,#01a,b05e96e5-6bc7-43af-88f7-2ae635913360
4afb0ba7-c6fb-432a-9bb3-ba545b6d3ad0,#e29,87609f29-324d-4db4-958a-a7250d24a6fd
6c90fe28-93ed-4b21-baa7-2e6b4e6c5b4a,#623,37830206-bf97-41bc-83c8-026820d45161
ff39fe71-5faf-453b-a6c9-df2c431f6505,#4db,112c5ac1-1b8f-489b-94f0-11f7e63b6b5b
8b4c9640-301b-4a4e-a9af-ffdf2d8068db,#736,b534602b-3170-44e3-a4e9-d067c95e180e
764a5187-575e-4ec6-9895-7fbe0012b9ca,#4c9,22d7afd6-de7a-4199-9531-d2c1d4f8fbd7
d1d65891-0b78-4c93-8541-c6969d2d3aee,#278,c5804ce5-18cc-4dfe-bab2-ca7bedc01177
65aa7898-32ac-469e-a185-0f43d5153741,#4b4,3aa6e011-2ba8-4025-8e4c-09fcca0a68cc
e34994ac-e9aa-4ae9-9419-893bde371cb5,#987,af461c7e-3dd5-49ee-976b-efbba25b0476
cdab5486-95ae-4170-800f-6bb69853db07,#492,f55d0778-290b-4824-8a35-1c3a2090fec9
bf9d9d11-987b-475a-a89c-c6ae989f0e68,#576,0808a54f-68a7-4b5b-a979-cb5afda1b795
88451cbe-8c80-46f1-99bb-369a3737dfad,#451,4d53dfa7-0d34-473a-b46c-9405bf9ffd9c
d68e3254-97aa-4b11-8f24-6b9ad7d5f08c,#998,e7000787-45de-4cc8-990b-86bf23ab5672
ae2bcb2f-b959-44d8-a031-bd595c534288,#0ac,feca35fa-48cf-4eaf-9e0b-27ac7aadfe78
d018b593-aba0-4717-a6a6-f232c4459131,#eb4,6877e247-a6d9-408b-aafe-62dc0337a0e5
7716fe47-49a6-4d1d-990a-ec14611c51b7,#f81,244d3e7e-018c-41ae-b553-df73c5910a8e
5b6d4fc2-da3f-4067-b865-4aae215258ab,#f76,daa2ae54-54b1-4fd9-8e34-4d75fa9ff653
ec4a7584-ca39-4240-bf7e-75a5968bd5bb,#93b,90f80178-1cb9-4d72-9086-c604d2771a3a
71c949c7-536a-4a7e-bdd1-678358a2033a,#d0c,3a7e6dee-09f2-4c6f-bb36-b73330363ad4
d426e144-09cf-4855-9002-38ea65bd01ca,#94a,771a0dd6-0de6-46a4-9eea-71d25ab8abf3
024428d7-48f8-4d2f-966c-9673483f6ffa,#4e1,51bc18c6-29bc-44bd-8d2d-c5abd3686cfd
b826d02c-d9d9-430b-876b-2e610bada2b1,#031,22323a7b-013a-492d-8db3-2ddecbe37aaa
4209bdca-17f2-48c7-9900-18871ca45c52,#4b4,5cae99b8-ec86-4129-bc49-3c44bd944614
5f0e4cae-748b-4c63-8c25-3ee539943fae,#5dd,eed7bc6c-5485-4194-be7a-90846c1e36cf
b2bcb690-1b46-4d09-9749-7fb3de2a162d,#de5,8ddc6475-df45-4b95-9e9c-78e16cc342ad
d060efc3-2b7c-4b08-a646-a20e8f9931af,#910,26989506-f241-4f53-ab38-7d0c1be2066c
a78dd912-53e9-43de-ba41-d9c8d1e1efe6,#a5c,4f31772d-5772-444c-9887-ab0c71108702
9975be6e-a8cf-4041-a667-d816795a097c,#b99,14e5884c-1b45-4ef2-aa93-767f24457271
1b12cc82-13bc-4755-b873-fe6e98e01220,#63c,d9fb741c-3bb9-403d-a0df-0263a71baff1
00a20f29-ca15-4e9f-b245-f0b71bb107af,#134,7c0e5f4d-d181-42de-aba2-99db4673a5c3
1552535d-e729-43e6-a3f6-1c5f8afe8c5e,#318,31a88033-cc63-4f56-b336-7fa2bf641608
69c36b85-ffcf-49b0-8b6c-9f9ac1c0f8f0,#8b1,00ddfe24-01dc-48c8-a5af-c93ff5f7e648
abdfdbb6-66e5-4bec-b1f9-e309cea637f9,#c94,3a09e68c-10ee-432b-a767-9251824af50e
b0634ec8-e0ae-4e22-944a-6c9fee2e50c7,#754,2ae7c53d-3044-4724-ae45-b72cc2946ebc
01189768-5ddf-4450-a44a-c455e32d2b6d,#0d4,45b0cdc0-b41e-4231-b7ae-3e1a88f41c8d
518ce58c-90d5-4c80-897d-f6349ebc6a0c,#edd,3f2a8e35-ea0e-426c-a7f5-fd2f203268e4
dccc20fd-c25a-401c-8ba3-4ef293505901,#1dd,3207248d-0183-41dc-b445-74795beedfca
5b5b3cac-7736-4959-abb2-180b38a17d44,#819,f5e666c4-6c07-4e1d-8868-e02222aa1e2b
6cddcdba-920d-4083-bfdb-6f1278370c56,#87a,375d7a0e-edde-4783-971b-f48e763a9751
e674059d-936e-40d9-87c7-2e6b001bd973,#ef5,4eb219f8-16a4-4a21-9673-016db27a20d3
c011b2cf-f408-420e-995f-bb4942156cf2,#4a9,e7000787-45de-4cc8-990b-86bf23ab5672
1c385b3f-06be-4361-8ec1-902340d927f3,#0ef,1bd6b92d-ed81-4b88-8550-f39fc237d852
be4d326a-5ba0-4c34-8a56-c535d42d032f,#5df,8c1fc6b4-2c44-473d-9f7b-8b6ed21f5452
6f1920a9-ccf1-431f-a206-ce0ecc46494c,#666,4c30a217-151b-41c2-b037-9e8cbdffb041
d915b850-5919-418c-b0e4-7762f9e4d6a4,#520,47386307-06db-4d5d-aef4-63b3dbd28726
066730b2-d860-4546-b582-3b83784c0b73,#37d,e534c505-7ff5-4d5b-b547-343ee8bdb10b
cb9d10af-a7ee-40e2-897d-ebc440552ffe,#179,375d7a0e-edde-4783-971b-f48e763a9751
892f7568-68e1-43f2-b308-e6509139c958,#cb2,66bad2fb-481d-4a82-971f-6551298fe330
02186e1c-4201-42c6-9727-957a6412b1bb,#2f5,53b6e09d-ce8b-47cb-b22f-afc267299cff
a4bea394-a736-4406-bb5b-fa8631f96b25,#0a4,32c8bb19-9a96-4aec-a433-83249f527bb8
b5a7c32d-6b36-44ef-b66e-ed468aa4e03e,#a7c,677a8c99-30c1-46a4-984f-98a5973aa38f
7a8df951-e2eb-4d6b-ad7d-f7febc62455c,#9f7,c56b5751-c7a7-40f2-ae79-855aeed09e17
7148bdca-a29c-4b88-89f5-5e2c1fb0a489,#eff,fd82fd6d-f92d-4aee-9c94-90ba46fc6f36
e08d146d-197c-4adb-b237-d311e2918faa,#5c0,0a7006f5-2143-498e-9bc3-e6bddc4266b3
2e83f3ca-9933-46b4-84de-2c81155ab3c3,#237,7089d696-5b98-491a-93f5-bc1f732179ad
